TCGA-BH-A18H,TCGA-E2-A14P,TCGA-AN-A04A,TCGA-5L-AAT1,TCGA-GI-A2C8,TCGA-AQ-A0Y5,TCGA-A8-A07I,TCGA-E9-A1R4,TCGA-AC-A8OP,TCGA-AR-A24Q,TCGA-D8-A1XU,TCGA-AO-A03N
7.6909,11.6127,6.2157,7.7416,2.0838,10.649,6.9784,5.4188,10.8232,12.4172,5.9218,6.4919
5.2916,3.0526,4.4161,9.5224,0.719,23.1503,5.356,14.9024,3.0557,4.9191,4.967,2.9562
5.3471,7.8827,0.7707,7.0983,0.0057,0.2438,0.267,1.5968,0.832,9.5806,0.3916,2.0381
6.8397,8.0418,16.6321,10.4577,57.7799,22.3153,17.381,18.1418,20.5399,19.6883,12.3275,6.959
0.9255,0.5679,0.5702,2.0034,0.2473,3.7088,1.1605,0.8287,1.3957,0.804,0.2986,1.5246
6.5597,19.7693,6.0875,7.1737,2.4052,7.1879,9.8665,18.419,18.1109,12.5333,13.9598,5.0688
0.0295,0.0,0.2656,0.2872,0.0071,0.3798,0.0166,0.0148,0.1091,0.0288,2.6108,0.0151
53.3353,208.0372,45.8613,65.4709,9.0535,136.3063,92.0751,78.7586,29.825,73.9913,101.5231,235.59
8.0238,22.9217,6.5098,8.8579,1.2109,6.9981,8.9129,7.2424,9.2398,16.4727,4.6227,8.5015
2.9408,1.5534,2.889,3.9855,1.6483,3.2719,2.453,3.9926,4.922,3.2656,1.7819,2.9938
1.9944,2.8628,0.8116,2.62,3.3093,2.074,0.9808,2.3499,4.7973,7.7847,1.6043,1.9129
0.1599,0.0736,0.4434,0.1558,0.0385,0.0,0.0,0.0806,0.0,0.0,0.6965,0.0
5.6606,10.5278,6.1852,9.631,18.5709,7.3049,8.8756,7.2647,3.8551,14.2295,5.7848,4.6553
21.3241,27.816,15.8124,17.5749,12.74,21.2816,15.8421,20.9753,24.6766,19.8509,11.5685,9.3205
93.4735,105.8493,89.3449,127.6432,29.3933,107.4708,108.6914,101.5388,92.9821,77.1308,102.3838,23.9384
15.5553,17.6466,25.744,20.3299,5.392,39.2631,42.4964,67.2493,23.0007,31.4253,38.5671,10.1072
0.5429,7.6585,2.3166,1.8432,0.8319,5.9401,2.0829,3.4527,1.2056,0.9853,4.2195,0.5749
26.7924,53.6405,32.3227,48.8365,23.8383,36.8016,32.8219,34.6731,24.8401,38.6257,25.8755,14.4517
0.8768,0.538,9.7745,2.4591,0.0748,5.6119,13.0872,2.0419,0.7595,10.408,1.0977,10.1534
54.976,106.1381,30.9501,44.7008,1.1037,50.2383,63.8056,71.2236,44.4961,21.4122,70.5619,27.6528
35.6908,37.4126,28.2033,44.4685,31.0123,69.2483,13.8244,56.851,23.7174,12.7178,48.2921,19.0478
0.2008,0.1413,0.4175,0.5523,0.1136,0.2536,0.5066,0.2856,0.2915,0.2155,0.7065,0.3019
54.5266,98.5761,136.8496,56.1079,29.0311,90.4498,100.7929,36.1164,286.7219,133.1783,293.5484,24.345
0.7576,0.2324,0.175,0.4025,0.1988,1.104,0.6995,0.7631,1.4162,0.3291,0.5466,0.3169
0.0,0.09,0.0678,0.2381,0.0118,0.084,0.1379,0.4433,1.0557,0.0637,0.2839,0.2
3.3813,2.3678,4.7634,0.716,0.0177,0.505,0.6221,0.7034,8.0262,0.5508,0.3201,0.1127
18.5185,26.83,23.8329,24.6296,16.1384,14.9132,22.9329,38.2916,24.5367,25.6454,25.0951,6.8075
0.6011,2.0433,3.9374,27.6311,0.1632,0.6826,1.2472,2.0507,4.6171,94.4557,0.8219,5.0652
71.8577,109.1562,51.6131,107.5147,39.1078,51.2394,86.8876,72.9951,122.9723,62.1876,69.5517,31.7737
3.1082,2.4568,3.5228,8.1924,0.2638,2.041,2.476,5.7092,1.7144,2.2872,1.3165,3.0658
21.0826,27.2402,26.6952,30.3847,29.1506,39.5881,36.5764,36.9307,24.6127,67.4115,35.0163,8.5988
0.1643,0.0756,0.8429,0.9605,1.2016,1.0302,1.2055,0.4966,0.4461,0.5996,0.6585,0.5041
0.0043,0.0432,0.1153,0.0914,0.0123,0.0147,0.0626,0.4341,0.0421,0.0417,0.2304,0.6894
26.037,147.852,36.0698,79.4957,31.2409,178.3122,93.4864,185.3148,124.7593,32.7241,43.8976,7.0297
0.0448,0.0619,0.8387,1.0478,0.0,0.1155,0.0253,3.5665,4.8662,0.1314,43.0587,8.0996
14.6109,5.9212,12.8888,23.0015,10.869,29.5111,19.1067,16.5382,19.9412,19.257,26.7956,2.2885
64.1571,68.1754,90.9728,121.0628,15.9521,32.1367,46.1691,97.0929,51.5286,80.118,37.7493,47.4552
7.3551,1.7526,1.1503,7.8962,0.1177,2.5053,1.3209,2.9388,1.94,3.7449,0.4768,0.5805
0.1362,0.627,0.5288,0.6901,0.0131,2.1527,4.9817,0.6039,0.0672,0.0,1.0443,1.2259
6.8366,4.7433,0.7047,10.2452,1.0287,0.4817,1.7409,2.0483,4.4122,4.3629,0.7125,0.4839
0.6665,0.9444,0.3404,0.4271,96.6697,0.2184,0.5246,0.9187,3.5492,0.2971,0.4125,0.0897
9.585,2.2157,3.9303,4.2731,1.7284,3.1468,3.3205,6.6461,4.1363,5.9603,2.9977,3.3366
0.1435,0.3397,0.0142,0.0799,0.1183,0.0,0.0463,0.0413,0.0759,0.0935,0.0,0.0
0.0035,0.0226,0.0024,0.0,0.0084,0.0511,0.0395,0.7903,0.0,0.4017,0.0875,0.0125
36.4728,41.4253,26.1834,37.0277,4.1317,20.984,24.7194,86.2318,48.4147,31.0948,16.6611,34.1151
28.261,25.103,18.9244,35.539,7.1331,39.6671,43.1988,117.7059,51.0595,23.6562,35.5375,22.8036
24.8273,13.0463,18.262,34.2744,2.6858,22.5957,17.9255,54.6266,38.3441,12.2711,17.2645,14.35
13.5855,15.3354,8.1224,1.9693,1.3572,5.0269,8.7249,6.9821,11.2385,1.7225,19.4219,4.7759
1.7514,4.7486,0.5577,6.7548,1.036,7.8855,0.641,22.2667,14.586,0.7402,0.9826,7.6106
